,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Algiers,1,2023-09-14 16:42:18,Good,327.11,1.55,35.64,51.5,4.53,9.08,18.74,0.26
1,Luanda,2,2023-09-14 16:42:18,Fair,587.46,0.51,16.62,43.99,3.58,15.53,37.89,3.9
2,Porto,3,2023-09-14 16:42:18,Moderate,236.99,0.37,3.94,104.43,1.82,13.54,18.38,1.39
3,Gaborone,2,2023-09-14 16:42:19,Fair,707.63,0.09,33.93,23.6,3.01,18.19,24.18,2.22
4,Ouagadougou,4,2023-09-14 16:42:19,Poor,1668.93,1.34,15.77,45.78,4.35,69.63,90.45,13.55
5,Bujumbura,2,2023-09-14 16:42:19,Fair,747.68,0.0,5.91,24.32,1.97,17.24,43.58,8.61
6,Praia,2,2023-09-14 16:42:20,Fair,220.3,0.03,0.24,55.08,0.27,10.41,46.96,0.5
7,Yaounde,1,2023-09-14 16:42:20,Good,390.53,0.02,0.71,21.82,0.18,2.46,3.24,0.28
8,Bangui,1,2023-09-14 16:42:21,Good,273.71,0.0,0.06,0.34,0.01,0.5,0.62,0.07
9,N'Djamena,3,2023-09-14 16:42:21,Moderate,1148.22,0.05,9.43,13.59,3.87,34.81,41.96,11.27
10,Moroni,2,2023-09-14 16:42:21,Fair,263.69,0.0,0.96,62.23,0.46,4.25,7.87,0.82
11,Brazzaville,3,2023-09-14 16:42:22,Moderate,947.95,0.0,10.54,55.79,1.25,40.04,58.66,5.26
12,Kinshasa,3,2023-09-14 16:42:22,Moderate,947.95,0.0,10.54,55.79,1.25,40.04,58.66,5.26
13,Djibouti,4,2023-09-14 16:42:22,Poor,347.14,0.0,1.24,59.37,1.01,44.45,120.16,0.96
14,Cairo,3,2023-09-14 16:42:23,Moderate,223.64,0.0,6.34,113.01,6.74,11.0,22.43,10.01
15,Malabo,1,2023-09-14 16:42:23,Good,383.85,0.0,0.04,36.84,0.12,2.39,3.5,0.0
16,Asmara,5,2023-09-14 16:42:24,Very Poor,247.0,0.0,1.32,54.36,0.47,59.9,250.48,2.09
17,Mbabane,4,2023-09-14 16:42:24,Poor,323.77,0.0,5.31,144.48,34.81,35.22,40.83,1.05
18,Addis Ababa,4,2023-09-14 16:42:24,Poor,1041.41,0.0,10.54,30.76,3.34,32.02,174.2,24.83
19,Libreville,1,2023-09-14 16:42:25,Good,420.57,0.09,1.63,40.77,1.48,4.01,9.33,0.71
20,Banjul,4,2023-09-14 16:42:25,Poor,226.97,0.01,0.1,47.92,0.16,21.27,107.37,0.0
21,Accra,2,2023-09-14 16:42:25,Fair,387.19,0.16,2.1,80.11,4.41,12.23,18.79,0.0
22,Conakry,1,2023-09-14 16:42:26,Good,257.02,0.0,0.12,34.33,0.03,0.5,3.73,0.0
23,Bissau,1,2023-09-14 16:42:26,Good,240.33,0.06,0.57,19.13,0.19,1.12,2.66,1.14
24,Yamoussoukro,1,2023-09-14 16:42:26,Good,310.42,0.09,0.51,17.35,0.18,1.8,3.55,0.68
25,Nairobi,3,2023-09-14 16:42:27,Moderate,1068.12,0.0,16.11,34.69,4.35,36.08,60.11,21.53
26,Maseru,2,2023-09-14 16:42:27,Fair,333.79,0.0,3.94,79.39,1.55,16.55,22.49,2.57
27,Monrovia,1,2023-09-14 16:42:28,Good,337.12,0.04,0.73,47.21,0.65,4.75,6.87,1.01
28,Tripoli,3,2023-09-14 16:42:28,Moderate,293.73,0.07,4.88,137.33,0.81,14.54,44.65,0.0
29,Antananarivo,1,2023-09-14 16:42:28,Good,413.9,0.0,2.27,31.11,2.03,7.31,13.91,6.08
30,Lilongwe,1,2023-09-14 16:42:29,Good,260.35,0.0,0.71,58.65,0.41,2.41,4.75,1.44
31,Bamako,3,2023-09-14 16:42:29,Moderate,247.0,0.01,0.04,17.52,0.02,10.62,64.85,0.16
32,Nouakchott,4,2023-09-14 16:42:29,Poor,263.69,0.04,0.2,55.79,0.41,27.14,144.96,0.63
33,Port Louis,2,2023-09-14 16:42:30,Fair,223.64,0.0,2.68,70.1,2.68,2.15,8.62,0.57
34,Rabat,3,2023-09-14 16:42:30,Moderate,210.29,0.03,0.62,120.16,0.92,11.89,24.93,0.0
35,Maputo,1,2023-09-14 16:42:31,Good,247.0,0.0,0.56,54.36,0.38,3.49,14.25,0.96
36,Windhoek,3,2023-09-14 16:42:31,Moderate,303.75,0.0,0.77,105.86,0.81,17.45,24.22,0.58
37,Niamey,2,2023-09-14 16:42:31,Fair,907.9,0.03,10.11,17.17,3.13,24.13,34.56,10.51
38,Abuja,2,2023-09-14 16:42:32,Fair,694.28,0.91,10.8,26.11,0.78,13.51,18.46,2.47
39,Nyarugenge District,1,2023-09-14 16:42:32,Good,313.76,0.0,1.97,26.11,0.73,4.36,9.43,2.28
40,São Tomé,1,2023-09-14 16:42:32,Good,317.1,0.0,0.09,57.94,0.16,2.84,7.27,0.11
41,Dakar,3,2023-09-14 16:42:33,Moderate,211.95,0.04,0.31,70.81,0.44,13.01,66.48,0.01
42,Victoria,1,2023-09-14 16:42:33,Good,287.06,6.54,15.77,16.45,6.2,9.86,11.71,0.53
43,Freetown,1,2023-09-14 16:42:33,Good,260.35,0.0,0.14,36.12,0.04,0.5,1.35,0.0
44,Mogadishu,1,2023-09-14 16:42:34,Good,203.61,0.0,0.17,33.26,0.22,4.21,17.25,0.13
45,Pretoria,4,2023-09-14 16:42:34,Poor,841.14,0.0,17.14,100.14,19.55,61.95,73.34,7.16
46,Juba City,1,2023-09-14 16:42:34,Good,270.37,0.01,0.96,2.95,0.03,0.58,0.82,0.41
47,Khartoum,4,2023-09-14 16:42:35,Poor,283.72,0.0,1.59,59.37,1.13,43.07,197.53,0.93
48,Dodoma,1,2023-09-14 16:42:35,Good,203.61,0.0,0.48,55.08,0.21,1.21,2.53,0.94
49,Lomé,1,2023-09-14 16:42:35,Good,460.63,0.16,2.04,54.36,1.59,8.87,17.23,2.6
50,Tunis,3,2023-09-14 16:42:36,Moderate,260.35,0.01,5.01,92.98,2.41,33.24,47.36,0.1
51,Kampala,3,2023-09-14 16:42:36,Moderate,727.65,0.02,6.17,13.05,1.65,29.06,47.93,5.89
52,Lusaka,2,2023-09-14 16:42:37,Fair,1361.85,0.0,6.86,47.92,6.38,15.5,23.18,11.65
53,Harare,2,2023-09-14 16:42:37,Fair,527.38,0.0,8.65,70.1,9.42,20.11,25.26,5.13
