,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Tiranë,4,2023-09-14 16:44:28,Poor,307.08,0.12,39.07,63.66,4.41,52.33,56.98,7.98
1,Andorra la Vella,1,2023-09-14 16:44:29,Good,168.56,0.12,1.5,57.94,0.2,1.71,2.13,10.51
2,Vienna,2,2023-09-14 16:44:29,Fair,230.31,0.03,2.66,82.25,0.62,2.32,3.01,2.22
3,Minsk,1,2023-09-14 16:44:29,Good,236.99,0.0,3.73,46.49,0.64,5.13,5.24,0.82
4,Brussels,2,2023-09-14 16:44:30,Fair,300.41,2.1,31.53,76.53,3.28,6.78,9.95,8.49
5,City of Sarajevo,2,2023-09-14 16:44:30,Fair,211.95,0.03,5.91,77.96,36.72,6.46,7.02,0.04
6,Sofia,3,2023-09-14 16:44:30,Moderate,195.27,0.0,0.9,103.0,0.92,14.12,16.55,0.49
7,Zagreb,1,2023-09-14 16:44:31,Good,270.37,0.48,19.19,15.56,0.08,4.64,7.17,2.88
8,Nicosia,3,2023-09-14 16:44:31,Moderate,210.29,0.0,0.74,108.72,0.5,3.17,3.98,2.57
9,Prague,2,2023-09-14 16:44:31,Fair,270.37,0.27,10.71,77.25,5.13,3.63,6.17,3.45
10,Copenhagen,2,2023-09-14 16:44:32,Fair,267.03,0.17,7.11,63.66,0.62,1.47,3.01,2.09
11,Tallinn,1,2023-09-14 16:44:32,Good,240.33,0.0,2.55,52.21,0.9,0.52,1.6,0.18
12,Helsinki,1,2023-09-14 16:44:32,Good,350.48,0.15,13.2,21.82,3.22,5.24,8.7,1.38
13,Paris,3,2023-09-14 16:44:33,Moderate,988.01,45.15,67.17,7.06,8.7,40.53,48.16,6.14
14,Berlin,1,2023-09-14 16:44:33,Good,307.08,0.87,25.36,36.12,3.93,4.18,6.03,3.04
15,Athens,4,2023-09-14 16:44:34,Poor,253.68,0.01,17.48,140.19,21.46,14.23,18.5,0.58
16,Budapest,1,2023-09-14 16:44:34,Good,273.71,0.01,16.79,51.5,2.59,6.4,7.69,1.47
17,Reykjavik,1,2023-09-14 16:44:34,Good,223.64,0.02,0.13,57.94,0.28,1.26,4.13,0.12
18,Dublin,1,2023-09-14 16:44:35,Good,247.0,0.2,8.31,50.78,3.43,1.49,3.06,2.03
19,Rome,2,2023-09-14 16:44:35,Fair,303.75,0.24,12.0,80.11,0.69,14.52,18.01,2.76
20,Riga,1,2023-09-14 16:44:35,Good,243.66,0.0,1.46,59.37,0.66,1.05,1.38,0.23
21,Vaduz,1,2023-09-14 16:44:36,Good,216.96,0.04,4.16,57.22,0.74,3.32,3.56,2.25
22,Vilnius,2,2023-09-14 16:44:36,Fair,226.97,0.0,1.69,71.53,0.32,0.95,1.51,0.52
23,Luxembourg,2,2023-09-14 16:44:37,Fair,250.34,12.18,44.55,20.21,0.61,6.02,6.93,9.37
24,Valletta,2,2023-09-14 16:44:37,Fair,205.28,0.02,1.1,90.84,1.16,14.37,19.93,0.46
25,Chișinau,2,2023-09-14 16:44:37,Fair,216.96,0.0,8.65,42.2,2.53,12.15,15.36,4.31
26,Monaco,1,2023-09-14 16:44:38,Good,260.35,0.68,13.2,50.78,1.0,9.35,10.71,0.36
27,Podgorica,3,2023-09-14 16:44:38,Moderate,205.28,0.02,5.66,101.57,4.65,14.11,16.7,4.81
28,Amsterdam,2,2023-09-14 16:44:38,Fair,440.6,95.67,58.95,2.44,2.3,5.76,11.56,11.27
29,Skopje,3,2023-09-14 16:44:39,Moderate,247.0,0.01,10.71,121.59,23.37,29.64,33.85,1.47
30,Oslo,1,2023-09-14 16:44:39,Good,230.31,0.07,8.05,38.62,5.36,1.03,1.56,0.51
31,Warsaw,2,2023-09-14 16:44:39,Fair,240.33,0.02,2.91,74.39,1.71,1.06,1.82,2.12
32,Lisbon,2,2023-09-14 16:44:40,Fair,253.68,0.96,9.94,89.41,2.83,11.09,17.87,3.33
33,Bucharest,2,2023-09-14 16:44:40,Fair,277.04,0.0,8.91,86.55,2.0,12.46,16.1,3.29
34,Moscow,2,2023-09-14 16:44:40,Fair,393.87,1.08,61.01,9.57,27.42,9.51,14.22,3.96
35,City of San Marino,2,2023-09-14 16:44:41,Fair,300.41,0.06,7.88,83.69,0.63,9.95,11.1,8.11
36,Belgrade,2,2023-09-14 16:44:41,Fair,240.33,0.01,4.8,88.69,0.69,5.06,5.84,1.6
37,Bratislava,2,2023-09-14 16:44:41,Fair,230.31,0.04,5.27,65.8,1.06,1.7,2.22,1.38
38,Ljubljana,2,2023-09-14 16:44:42,Fair,253.68,0.03,8.4,64.37,1.79,8.49,10.07,2.31
39,Madrid,3,2023-09-14 16:44:42,Moderate,230.31,0.2,4.8,121.59,0.2,3.38,4.0,1.68
40,Stockholm,1,2023-09-14 16:44:42,Good,310.42,0.43,19.36,24.32,8.11,1.28,3.31,2.09
41,Bern,2,2023-09-14 16:44:43,Fair,220.3,0.02,4.8,83.69,1.67,4.92,5.3,2.63
42,Kyiv,2,2023-09-14 16:44:43,Fair,243.66,0.0,13.88,45.78,3.67,10.41,11.53,0.92
43,London,2,2023-09-14 16:44:44,Fair,273.71,1.76,31.87,63.66,14.66,6.01,9.24,0.76
44,Vatican City,2,2023-09-14 16:44:44,Fair,303.75,0.24,12.0,80.11,0.69,14.52,18.01,2.76
