,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Buenos Aires,2,2023-09-14 16:48:03,Fair,297.07,1.62,7.03,72.24,4.95,5.61,6.84,1.52
1,La Paz,3,2023-09-14 16:48:03,Moderate,273.71,0.44,1.54,131.61,1.74,17.36,20.17,2.09
2,Brasília,1,2023-09-14 16:48:04,Good,226.97,0.05,0.35,47.92,0.12,2.93,3.81,0.8
3,Santiago,1,2023-09-14 16:48:04,Good,226.97,0.39,3.3,45.78,0.6,1.77,3.25,6.02
4,Bogota,1,2023-09-14 16:48:04,Good,263.69,0.48,1.59,38.98,0.69,1.66,2.15,0.66
5,Quito,2,2023-09-14 16:48:05,Fair,1615.52,19.67,60.32,26.11,32.42,22.3,24.58,10.13
6,City of Georgetown,2,2023-09-14 16:48:05,Fair,283.72,0.07,0.42,54.36,1.07,5.18,21.63,0.0
7,Asuncion,2,2023-09-14 16:48:06,Fair,327.11,0.1,0.55,80.11,0.66,2.95,8.34,2.88
8,Lima,2,2023-09-14 16:48:06,Fair,257.02,1.44,6.86,57.22,4.47,6.07,23.97,4.02
9,Paramaribo,1,2023-09-14 16:48:06,Good,287.06,0.01,0.03,35.41,0.17,3.08,10.58,0.01
10,Montevideo,2,2023-09-14 16:48:07,Fair,270.37,1.24,3.13,70.81,8.11,3.08,5.24,2.06
11,Caracas,2,2023-09-14 16:48:07,Fair,473.98,4.58,31.87,34.33,52.45,15.08,15.43,0.0
