,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Alabama,2,2023-09-14 17:15:09,Fair,330.45,0.0,2.06,94.41,0.94,18.12,23.75,2.5
1,Alaska,2,2023-09-14 17:09:49,Fair,198.6,0.04,0.39,67.23,0.05,1.01,1.08,0.04
2,Arizona,5,2023-09-14 17:15:10,Very Poor,287.06,0.0,0.42,168.8,1.45,80.2,121.5,0.0
3,Arkansas,2,2023-09-14 17:15:10,Fair,230.31,0.11,0.59,97.28,3.52,2.5,3.32,0.2
4,California,3,2023-09-14 17:09:51,Moderate,263.69,0.09,0.86,100.14,2.65,10.2,10.84,0.84
5,Centennial,2,2023-09-14 17:15:11,Fair,280.38,4.36,18.17,71.53,6.91,6.04,8.0,2.63
6,Cornwall,2,2023-09-14 17:09:51,Fair,250.34,0.26,1.08,85.83,0.54,1.89,2.08,0.24
7,Delaware,2,2023-09-14 17:15:11,Fair,273.71,0.18,0.87,92.98,1.94,6.06,6.43,0.43
8,Orlando,3,2023-09-14 17:15:12,Moderate,240.33,0.38,3.21,114.44,1.43,7.93,8.72,0.08
9,Georgia,1,2023-09-14 17:15:12,Good,250.34,0.16,0.91,55.08,0.28,0.5,0.53,0.13
10,Hawaii,2,2023-09-14 17:15:12,Fair,151.87,0.01,0.25,20.39,60.08,12.01,12.78,0.0
11,Idaho,1,2023-09-14 17:09:53,Good,211.95,0.0,0.13,52.93,0.05,1.18,2.28,0.25
12,Illinois,5,2023-09-14 17:15:13,Very Poor,287.06,0.0,0.42,168.8,1.45,80.2,121.5,0.0
13,Indiana,2,2023-09-14 17:15:13,Fair,243.66,0.14,0.56,75.82,0.51,1.44,1.93,0.43
14,Iowa,2,2023-09-14 17:15:14,Fair,310.42,0.06,0.58,80.11,0.42,8.77,9.04,0.17
15,Kansas,2,2023-09-14 17:15:14,Fair,253.68,0.09,1.06,90.12,0.78,5.54,6.5,1.58
16,Kentucky,1,2023-09-14 17:15:15,Good,211.95,0.0,1.39,23.25,0.06,2.56,3.49,0.72
17,Louisiana,2,2023-09-14 17:15:15,Fair,270.37,0.26,1.39,97.28,1.97,6.72,7.1,1.57
18,Portland,2,2023-09-14 17:15:15,Fair,287.06,3.58,8.4,35.41,2.71,11.33,13.99,0.55
19,Town of Maryland,2,2023-09-14 17:15:16,Fair,243.66,0.12,0.48,72.96,0.22,0.59,0.65,0.19
20,Massachusetts Avenue Commercial District,3,2023-09-14 17:15:16,Moderate,297.07,1.01,4.63,108.72,4.05,7.09,7.62,1.27
21,Michigan,5,2023-09-14 17:15:13,Very Poor,287.06,0.0,0.42,168.8,1.45,80.2,121.5,0.0
22,Minnesota Lake,2,2023-09-14 17:15:17,Fair,267.03,0.58,2.23,77.25,2.27,7.85,8.37,3.58
23,Mississippi,2,2023-09-14 17:15:17,Fair,287.06,3.58,8.4,35.41,2.71,11.33,13.99,0.55
24,Missouri,2,2023-09-14 17:15:18,Fair,226.97,0.03,0.24,71.53,0.04,0.5,0.51,0.11
25,Montana,3,2023-09-14 17:15:18,Moderate,205.28,0.0,1.46,111.58,7.09,33.09,34.29,0.0
26,Nebraska,2,2023-09-14 17:09:59,Fair,243.66,0.19,0.7,73.67,0.72,1.86,2.09,0.31
27,Nevada,2,2023-09-14 17:15:18,Fair,188.59,0.03,0.64,60.08,0.16,1.79,3.96,0.98
28,New Hampshire,2,2023-09-14 17:15:19,Fair,267.03,0.11,0.67,89.41,1.97,4.14,4.45,0.38
29,Westampton,2,2023-09-14 17:15:19,Fair,257.02,0.36,1.89,94.41,1.91,4.47,5.23,0.65
30,New Mexico,5,2023-09-14 17:15:10,Very Poor,287.06,0.0,0.42,168.8,1.45,80.2,121.5,0.0
31,New York County,2,2023-09-14 17:10:01,Fair,273.71,1.37,5.66,91.55,3.01,3.82,4.9,0.88
32,North Carolina,3,2023-09-14 17:15:20,Moderate,280.38,0.11,1.21,103.0,2.59,8.13,8.69,0.12
33,North Dakota,1,2023-09-14 17:15:20,Good,253.68,0.41,2.01,57.94,0.52,4.93,5.21,1.69
34,Ohio,2,2023-09-14 17:15:21,Fair,267.03,0.27,1.22,97.28,2.68,5.66,6.05,0.28
35,Oklahoma,2,2023-09-14 17:10:02,Fair,253.68,0.38,1.5,82.25,1.77,1.53,1.83,0.25
36,Lake Oswego,2,2023-09-14 17:15:21,Fair,287.06,3.58,8.4,35.41,2.71,11.33,13.99,0.55
37,Pennsylvania,2,2023-09-14 17:15:22,Fair,327.11,0.14,1.59,85.12,2.95,14.56,15.48,0.0
38,Aquidneck Island,3,2023-09-14 17:10:03,Moderate,263.69,0.51,3.21,105.86,0.97,3.44,3.93,0.37
39,South Carolina Road,1,2023-09-14 17:10:03,Good,307.08,0.01,0.53,42.56,0.42,3.0,4.18,0.3
40,South Dakota Park,2,2023-09-14 17:10:04,Fair,247.0,0.2,1.74,72.24,0.17,4.02,4.24,3.04
41,Tennessee,3,2023-09-14 17:15:23,Moderate,297.07,0.2,1.13,101.57,2.59,10.29,10.79,1.25
42,Texas,1,2023-09-14 17:15:23,Good,223.64,0.0,1.32,25.75,0.07,2.11,3.06,1.14
43,Taylor Flat,2,2023-09-14 17:10:05,Fair,168.56,0.07,0.47,80.11,0.75,3.68,11.78,1.46
44,Vermont,3,2023-09-14 17:15:24,Moderate,307.08,0.23,1.34,107.29,3.79,13.02,13.65,0.9
45,Virginia,2,2023-09-14 17:15:24,Fair,236.99,0.14,1.54,62.94,0.83,2.56,2.87,0.7
46,Washington,3,2023-09-14 17:15:25,Moderate,257.02,0.48,2.59,103.0,1.65,2.27,2.83,0.54
47,West Virginia,2,2023-09-14 17:15:25,Fair,236.99,0.14,1.54,62.94,0.83,2.56,2.87,0.7
48,Eau Claire,2,2023-09-14 17:15:25,Fair,263.69,0.4,1.48,70.81,0.89,3.66,4.12,1.73
49,Wyoming,2,2023-09-14 17:15:26,Fair,273.71,0.36,1.54,85.83,0.63,2.16,2.42,0.63
