,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Kabul,3,2023-09-14 16:52:49,Moderate,2510.07,0.0,28.1,90.84,1.39,26.79,46.74,2.79
1,Yerevan,1,2023-09-14 16:52:49,Good,226.97,0.0,25.36,35.76,1.71,2.36,2.67,4.31
2,Baku City,2,2023-09-14 16:52:50,Fair,226.97,0.0,5.23,70.81,0.59,9.57,29.07,0.33
3,Manama,4,2023-09-14 16:52:50,Poor,287.06,0.0,3.77,171.66,11.56,64.48,169.28,0.0
4,Dhaka,1,2023-09-14 16:52:50,Good,367.17,0.0,10.63,27.18,6.14,9.83,14.97,3.67
5,Thimphu,2,2023-09-14 16:52:51,Fair,340.46,0.0,1.63,36.12,1.31,13.0,16.45,4.18
6,Bandar Seri Begawan,1,2023-09-14 16:52:51,Good,473.98,0.0,8.74,30.4,3.46,6.4,6.61,0.9
7,Phnom Penh,2,2023-09-14 16:52:52,Fair,547.41,0.0,3.04,37.55,1.31,10.31,13.92,1.66
8,Beijing,5,2023-09-14 16:52:52,Very Poor,1842.5,116.23,59.63,0.0,63.9,238.22,300.04,18.24
9,Nicosia,3,2023-09-14 16:52:52,Moderate,210.29,0.0,0.74,108.72,0.5,3.17,3.98,2.57
10,Tbilisi,1,2023-09-14 16:52:53,Good,327.11,0.0,8.14,47.21,0.45,8.62,11.87,6.33
11,New Delhi,5,2023-09-14 16:52:53,Very Poor,5607.61,91.2,75.4,0.0,82.97,339.76,456.24,17.99
12,Special Capital Region of Jakarta,3,2023-09-14 16:52:54,Moderate,427.25,0.0,10.71,118.73,12.76,41.24,56.06,2.25
13,Tehran,4,2023-09-14 16:52:54,Poor,1869.2,296.83,180.96,0.0,148.77,35.88,88.55,8.11
14,Baghdad,3,2023-09-14 16:52:54,Moderate,236.99,0.0,9.34,118.73,6.14,18.82,80.7,0.81
15,Jerusalem,2,2023-09-14 16:52:55,Fair,236.99,0.0,16.62,80.11,2.53,10.94,16.44,1.93
16,Tokyo,3,2023-09-14 16:52:55,Moderate,357.15,21.01,50.04,0.0,16.93,30.97,38.45,0.61
17,Amman,3,2023-09-14 16:52:55,Moderate,205.28,0.0,7.71,117.3,3.61,8.07,13.02,1.65
18,Nur,2,2023-09-14 16:52:56,Fair,233.65,0.01,3.04,78.68,1.31,1.36,2.06,2.19
19,Kuwait City,4,2023-09-14 16:52:56,Poor,260.35,0.0,6.0,153.07,2.47,48.62,185.5,0.93
20,Bishkek,1,2023-09-14 16:52:56,Good,250.34,0.04,14.05,23.6,2.38,6.69,17.76,1.49
21,Vientiane Capital,3,2023-09-14 16:52:57,Moderate,1789.09,13.75,7.97,0.01,3.13,25.69,32.27,5.0
22,Beirut,3,2023-09-14 16:52:57,Moderate,223.64,0.0,0.96,110.15,3.16,5.75,8.26,1.06
23,Kuala Lumpur,5,2023-09-14 16:52:57,Very Poor,6675.72,177.03,59.63,0.0,30.99,100.09,127.62,4.69
24,Malé,1,2023-09-14 16:52:58,Good,190.26,0.0,0.79,39.7,0.52,1.83,2.49,0.0
25,Ulaanbaatar,1,2023-09-14 16:52:58,Good,178.58,0.0,3.13,41.84,4.05,1.88,2.06,0.33
26,Nay Pyi Taw,1,2023-09-14 16:52:58,Good,390.53,0.0,2.12,13.23,0.22,5.02,5.8,0.55
27,Kathmandu,4,2023-09-14 16:52:59,Poor,1348.5,0.14,20.56,10.73,3.01,56.68,92.08,4.37
28,Pyongyang,2,2023-09-14 16:52:59,Fair,367.17,0.0,16.79,42.92,34.81,10.8,14.27,0.69
29,Old Muscat,3,2023-09-14 16:53:00,Moderate,220.3,0.0,8.57,55.79,7.63,26.46,87.87,0.0
30,Islamabad,5,2023-09-14 16:53:00,Very Poor,2429.96,0.02,69.23,27.54,7.75,109.6,139.8,18.75
31,Ramallah,2,2023-09-14 16:53:00,Fair,243.66,0.0,13.54,83.69,2.44,10.71,16.65,1.65
32,Manila,2,2023-09-14 16:53:01,Fair,487.33,0.0,16.11,38.62,6.62,11.14,14.45,1.22
33,Doha,4,2023-09-14 16:53:01,Poor,367.17,0.0,50.72,103.0,22.17,54.51,144.11,0.96
34,Riyadh,4,2023-09-14 16:53:01,Poor,283.72,0.0,42.5,81.54,48.64,40.33,122.85,0.62
